y_test,y_pred,Input,Output,Inquiry,File,FPAdj,RawFPCount,AdjFP
102.4,97.35317993164062,25.0,150.0,75.0,60.0,1.0,1750.0,1750.0
105.2,97.35317993164062,193.0,98.0,70.0,36.0,1.0,1902.0,1902.0
11.1,11.033958435058594,70.0,27.0,0.0,12.0,0.800000011920929,535.0,428.0
21.1,21.34033203125,40.0,60.0,20.0,12.0,1.149999976158142,660.0,759.0
28.8,29.082557678222656,10.0,69.0,1.0,9.0,0.8999999761581421,478.8900146484375,431.0
10.0,10.038551330566406,13.0,19.0,0.0,23.0,0.75,377.3299865722656,283.0
8.0,7.432182312011719,34.0,14.0,0.0,5.0,0.800000011920929,256.25,205.0
4.9,4.301109313964844,17.0,17.0,15.0,5.0,1.100000023841858,262.7300109863281,289.0
12.9,15.023200988769531,45.0,64.0,14.0,16.0,0.949999988079071,715.7899780273438,680.0
19.0,20.192062377929688,40.0,60.0,20.0,15.0,1.149999976158142,690.4299926757812,794.0
10.8,13.201301574707031,41.0,27.0,29.0,5.0,1.100000023841858,465.45001220703125,512.0
2.9,3.256500244140625,33.0,17.0,8.0,5.0,0.75,298.6700134277344,224.0
7.5,6.81500244140625,28.0,41.0,16.0,11.0,0.8500000238418579,490.5899963378906,417.0
12.0,11.892097473144531,43.0,40.0,20.0,35.0,0.8500000238418579,802.3499755859375,682.0
4.1,4.5155487060546875,7.0,12.0,13.0,8.0,0.949999988079071,220.0,209.0
15.8,11.704093933105469,28.0,38.0,24.0,9.0,1.0499999523162842,487.6199951171875,512.0
18.3,15.3719482421875,42.0,57.0,12.0,5.0,1.100000023841858,550.9099731445312,606.0
8.9,9.136672973632812,27.0,20.0,24.0,6.0,1.100000023841858,363.6400146484375,400.0
38.1,38.37700653076172,48.0,66.0,13.0,50.0,1.149999976158142,1073.9100341796875,1235.0
61.2,61.487300872802734,69.0,112.0,21.0,39.0,1.2000000476837158,1310.0,1572.0
3.6,3.6226806640625,25.0,28.0,4.0,22.0,1.0499999523162842,476.19000244140625,500.0
11.8,10.903533935546875,61.0,68.0,0.0,11.0,1.0,694.0,694.0
0.5,0.5777130126953125,15.0,15.0,6.0,3.0,1.0499999523162842,189.52000427246094,199.0
6.1,6.37060546875,12.0,15.0,0.0,15.0,0.949999988079071,273.67999267578125,260.0
